experiment_id,dataset,unlabeled_pct,cotraining_start,conf_rgb,conf_fft,test_rgb_acc,test_fft_acc,test_combined_acc,rgb_confusion_matrix,fft_confusion_matrix,combined_confusion_matrix,num_classes,final_rgb_size,final_fft_size,unlabeled_used,rgb_pseudo_samples,fft_pseudo_samples,timestamp
small_80_start5_rgb0.95_fft0.9,small_80,80,5,0.95,0.9,0.885483870967742,0.7237903225806451,0.8758064516129033,"119,15,0,0,6,2,0,614,0,0,4,0,0,28,160,0,20,0,1,0,0,324,0,0,17,60,30,5,712,19,8,17,0,2,50,267","1,63,0,2,31,45,2,546,1,3,47,19,1,69,71,0,50,17,0,0,0,324,0,1,14,139,9,11,606,64,1,27,0,4,65,247","115,15,0,0,6,6,0,614,0,0,4,0,0,39,144,0,24,1,1,0,0,324,0,0,13,76,20,4,712,18,7,21,0,3,50,263",6,4375,4238,5543,2690,2553,2025-11-10 11:47:07
small_80_start5_rgb0.9_fft0.85,small_80,80,5,0.9,0.85,0.8383064516129032,0.6935483870967742,0.792741935483871,"90,38,0,0,8,6,0,616,0,1,1,0,1,67,119,0,21,0,0,1,0,324,0,0,10,164,7,10,624,28,1,27,0,2,8,306","0,106,3,4,20,9,0,607,1,2,8,0,0,104,81,1,20,2,0,1,0,323,0,1,0,297,12,10,501,23,0,98,5,5,28,208","62,66,0,0,8,6,0,616,0,0,2,0,0,87,105,0,16,0,0,1,0,324,0,0,5,214,8,7,585,24,1,51,0,4,14,274",6,4411,4429,5503,2726,2744,2025-11-10 13:12:31
small_80_start5_rgb0.85_fft0.8,small_80,80,5,0.85,0.8,0.8504032258064517,0.7137096774193549,0.8209677419354838,"96,39,0,0,6,1,0,617,0,0,1,0,0,23,171,0,14,0,0,2,0,323,0,0,28,97,39,3,659,17,4,79,0,0,18,243","0,120,0,0,16,6,0,602,3,1,12,0,0,72,100,0,35,1,0,4,0,319,2,0,2,267,12,4,532,26,0,102,3,1,21,217","67,66,0,0,8,1,0,617,0,0,1,0,0,47,147,0,14,0,0,2,0,323,0,0,19,138,22,4,639,21,0,87,0,1,13,243",6,4504,4395,5650,2819,2710,2025-11-10 14:41:50
small_80_start7_rgb0.95_fft0.9,small_80,80,7,0.95,0.9,0.8411290322580646,0.7169354838709677,0.8375,"59,61,0,0,12,10,0,618,0,0,0,0,0,53,144,0,11,0,0,1,0,324,0,0,6,130,18,6,659,24,1,50,0,0,11,282","23,81,0,0,18,20,12,570,1,5,26,4,1,69,65,1,66,6,0,2,0,322,1,0,29,180,7,18,577,32,15,68,0,6,34,221","54,66,0,0,11,11,0,618,0,0,0,0,0,63,130,1,13,1,0,1,0,324,0,0,5,131,11,4,667,25,0,44,0,1,15,284",6,3989,3967,4862,2304,2282,2025-11-10 16:02:03
small_80_start7_rgb0.9_fft0.85,small_80,80,7,0.9,0.85,0.8883064516129032,0.6875,0.8661290322580645,"77,12,0,0,22,31,0,617,0,0,0,1,0,18,145,0,43,2,0,1,0,324,0,0,7,41,22,6,746,21,1,17,0,0,32,294","8,108,0,0,23,3,3,601,0,2,11,1,0,98,70,0,40,0,0,5,0,318,2,0,14,253,12,6,549,9,5,102,0,1,77,159","70,28,0,0,19,25,0,617,0,0,0,1,0,37,136,0,34,1,0,1,0,324,0,0,7,71,17,6,723,19,1,26,0,0,39,278",6,4130,4017,4734,2445,2332,2025-11-10 17:27:05
