experiment_id,dataset,unlabeled_pct,cotraining_start,conf_rgb,conf_fft,test_rgb_acc,test_fft_acc,test_combined_acc,rgb_confusion_matrix,fft_confusion_matrix,combined_confusion_matrix,num_classes,final_rgb_size,final_fft_size,unlabeled_used,rgb_pseudo_samples,fft_pseudo_samples,timestamp
large_20_start5_rgb0.95_fft0.9,large_20,20,5,0.95,0.9,0.9237903225806452,0.8048387096774193,0.9245967741935484,"105,0,0,0,35,2,0,594,1,0,22,1,0,0,161,0,47,0,1,0,0,322,2,0,10,6,7,1,808,11,0,1,0,0,42,301","42,26,1,0,47,26,9,540,4,2,60,3,2,24,105,0,70,7,0,1,0,323,1,0,29,55,21,6,685,47,9,8,0,0,26,301","102,0,0,0,35,5,0,595,0,0,22,1,0,1,159,0,48,0,1,0,0,324,0,0,9,8,8,3,798,17,0,1,0,0,28,315",6,7496,7855,1973,752,1111,2025-11-15 01:17:38
large_20_start5_rgb0.9_fft0.85,large_20,20,5,0.9,0.85,0.9423387096774194,0.775,0.9403225806451613,"133,2,0,0,5,2,1,614,0,0,2,1,0,1,170,0,37,0,1,0,0,321,3,0,18,10,20,1,763,31,0,1,0,0,7,336","9,69,0,0,48,16,0,580,0,1,37,0,2,90,78,0,34,4,0,3,0,319,3,0,2,134,9,4,658,36,1,40,0,0,25,278","128,3,0,0,7,4,0,615,0,0,3,0,0,8,167,0,32,1,1,0,0,322,2,0,15,23,13,1,763,28,0,2,0,0,5,337",6,7513,7820,1979,769,1076,2025-11-15 03:25:24
large_20_start5_rgb0.85_fft0.8,large_20,20,5,0.85,0.8,0.9334677419354839,0.7943548387096774,0.9306451612903226,"117,4,0,0,16,5,0,614,1,0,2,1,0,0,178,0,30,0,1,1,0,320,3,0,11,13,27,2,773,17,1,1,0,0,29,313","20,65,2,0,48,7,2,591,1,0,24,0,4,46,125,0,33,0,0,1,0,321,3,0,17,113,16,4,668,25,10,49,0,0,40,245","114,6,0,0,18,4,0,615,1,0,2,0,0,6,173,0,29,0,1,0,0,323,1,0,10,19,25,3,766,20,0,6,0,0,21,317",6,7680,7802,1980,936,1058,2025-11-15 05:34:30
large_20_start7_rgb0.95_fft0.9,large_20,20,7,0.95,0.9,0.9366935483870967,0.7911290322580645,0.9379032258064516,"124,0,0,0,17,1,0,614,0,0,4,0,0,0,150,0,58,0,1,0,0,323,1,0,12,9,9,2,793,18,2,0,1,0,22,319","14,65,2,0,51,10,0,584,1,0,33,0,1,44,125,0,38,0,1,2,0,312,10,0,6,121,23,2,665,26,3,47,1,0,31,262","122,1,0,0,17,2,0,614,0,0,4,0,0,4,156,0,48,0,1,0,0,323,1,0,10,18,9,2,785,19,1,0,1,0,16,326",6,7529,7810,1973,785,1066,2025-11-15 07:40:59
large_20_start7_rgb0.9_fft0.85,large_20,20,7,0.9,0.85,0.9290322580645162,0.7891129032258064,0.932258064516129,"126,1,0,0,15,0,0,614,0,0,3,1,0,0,177,0,31,0,1,0,0,300,24,0,13,9,24,1,780,16,7,0,0,0,30,307","3,97,2,0,33,7,0,605,1,2,10,0,0,62,124,0,22,0,0,1,0,322,2,0,4,150,20,5,641,23,0,47,2,1,32,262","122,3,0,0,15,2,0,615,0,0,3,0,0,5,175,0,28,0,1,0,0,320,4,0,10,21,24,1,769,18,4,2,1,0,26,311",6,7698,7730,1980,954,986,2025-11-15 09:47:25
large_20_start7_rgb0.85_fft0.8,large_20,20,7,0.85,0.8,0.9399193548387097,0.8012096774193549,0.9383064516129033,"119,2,0,0,20,1,0,614,1,0,3,0,0,0,186,0,22,0,1,0,0,320,4,0,13,13,27,1,771,18,1,3,1,0,18,321","35,28,10,0,54,15,8,513,8,1,86,2,1,20,148,0,37,2,0,1,0,318,6,0,15,45,42,3,709,29,7,19,5,0,49,264","115,1,1,0,24,1,0,613,1,0,4,0,0,1,184,0,23,0,1,0,0,322,2,0,11,13,29,1,770,19,0,4,1,0,16,323",6,7734,7836,1982,990,1092,2025-11-15 12:07:46
large_20_start10_rgb0.95_fft0.9,large_20,20,10,0.95,0.9,0.9399193548387097,0.8024193548387096,0.9399193548387097,"128,0,0,0,12,2,0,611,0,0,5,2,0,0,190,0,18,0,1,0,0,323,1,0,13,11,39,2,751,27,0,1,0,0,15,328","54,32,2,1,42,11,10,520,4,0,78,6,12,19,111,0,63,3,1,0,0,321,3,0,33,46,17,6,707,34,20,11,1,0,35,277","126,1,0,0,12,3,0,611,0,0,6,1,0,1,188,0,19,0,1,0,0,323,1,0,12,12,32,3,758,26,0,2,0,0,17,325",6,7660,7871,1955,916,1127,2025-11-15 14:12:13
large_20_start10_rgb0.9_fft0.85,large_20,20,10,0.9,0.85,0.9366935483870967,0.7899193548387097,0.9370967741935484,"136,0,0,0,6,0,0,613,0,0,5,0,0,0,179,0,29,0,1,0,0,320,4,0,19,12,31,1,765,15,1,3,1,0,29,310","25,13,4,1,83,16,9,452,33,1,116,7,0,9,149,0,47,3,0,1,0,322,2,0,14,27,32,5,728,37,12,7,3,0,39,283","133,0,0,0,8,1,0,612,0,0,6,0,0,1,178,0,29,0,1,0,0,323,1,0,17,13,34,2,759,18,0,2,1,0,22,319",6,7745,7892,1962,1001,1148,2025-11-15 16:17:04
large_20_start10_rgb0.85_fft0.8,large_20,20,10,0.85,0.8,0.9254032258064516,0.7983870967741935,0.9205645161290322,"96,15,0,0,29,2,0,616,1,0,1,0,0,0,181,0,27,0,0,1,0,323,1,0,7,13,32,2,777,12,0,5,0,0,37,302","49,53,0,0,32,8,7,583,2,0,26,0,8,45,117,0,37,1,1,4,0,319,1,0,31,108,12,3,664,25,15,38,0,0,43,248","91,20,0,0,28,3,0,614,1,0,3,0,0,3,176,0,29,0,0,1,0,323,1,0,5,18,27,3,776,14,0,8,0,0,33,303",6,7745,7944,1964,1001,1200,2025-11-15 18:22:15
